,titulo,fecha de publicacion,body,precio,descripcion
0,Alquiler Departamento 1 300,Publicado: 09 Abril 2024,"ALQUILER departamento, 1.300, consta 1 dormitorio, 1 ropero, 1 estudio, cocina, cajonería alta y baja, lavandería, sala comedor, baño independiente, zona Busch, Blanco Galindo 3 1/2. 70999948.",1.3,Cochabamba -  Alquiler -  Departamento
1,Propietario Alquila Departamento Dos,Publicado: 09 Abril 2024,"PROPIETARIO Alquila departamento dos dormitorios, Oquendo esquina Venezuela cerca Facultad Odontología Edificio Marbella Celular 71732254",71732254,Cochabamba -  Alquiler -  Departamento
2,Alquiler De Oficinas Elegantes,Publicado: 09 Abril 2024,"ALQUILER de oficinas, elegantes, con baño privado y parqueo, precios rebajados, entre 23 a 42 m2, ideal para todo tipo de profesionales y consultoras. Ref. 25 de mayo 264 entre Sucre y Bolívar, edificio Franzur. Cel. 70798329.",23,Cochabamba -  Alquiler -  Oficina
3,Habitacion Cerca Puente Cobija,Publicado: 09 Abril 2024,"HABITACION cerca puente Cobija, todo servicio, wifi, cocina, baño, caliente, 650 Bs. whatsapp. 71405294.",650,Cochabamba -  Alquiler -  Habitación
4,Venta Ocasión 10 000,Publicado: 09 Abril 2024,"VENTA ocasión 10.000 $us c/u, 6 lotes, se vende en conjunto o separado, Urb. Juana Azurduy/Sivingani. Cel. 63851094.",10.0,Cochabamba -  Venta -  Lote / Terreno
5,Alquilo Cuarto San Martín,Publicado: 09 Abril 2024,"ALQUILO cuarto, San Martín y Heroínas, con wifi, cocina, lavadora, compartido, 650 Bs. 63827709.",650,Cochabamba -  Alquiler -  Habitación
6,Dueña Alquila Departamento De,Publicado: 09 Abril 2024,"DUEñA alquila departamento de 2 habitaciones, amplio, independiente, inmediaciones Av. 6 de agosto. Cel. 62994992.",2,Cochabamba -  Alquiler -  Departamento
7,Alquilo Departamento Auxiliar A,Publicado: 09 Abril 2024,"ALQUILO departamento auxiliar, a 2 cuadras de la U. Católica. 70762274.",2,Cochabamba -  Alquiler -  Departamento
8,En Alquiler Consultorio Dental,Publicado: 09 Abril 2024,"EN ALQUILER Consultorio dental equipado, Pacata baja. Cel. 79735978",79735978,Cochabamba -  Alquiler -  Oficina
9,En Alquiler 2 300,Publicado: 09 Abril 2024,"EN ALQUILER 2.300 Bs. bonito departamento de 1 habitación, paseo Recoleta, sin garaje. Ref. 60844233, solo interesados.",2.3,Cochabamba -  Alquiler -  Departamento
10,Tienda Comercial En Alquiler,Publicado: 09 Abril 2024,Tienda Comercial en Alquiler. Sobre Av. América  418 Edif. GALA Superficie de 60 M2. Con baño Privado. Ref: 76404198 - 4240157,$us750,Cochabamba -  Alquiler -  Local Comercial
11,Remato Departamento Nuevo A,Publicado: 09 Abril 2024,"REMATO  Departamento nuevo a estrenar en hermoso condominio , 20.000 dólares 34 m2 , 30.000 dólares 43 m2 , 34.000 dólares 49 m2 , de 3 dormitorios 8.0000 dólares 133 m2 , incluyen domótica cocinas equipadas , áreas sociales hermosas de constructora reconocida contactarse con el 77435000 Excelentes...",20.0,Cochabamba -  Venta -  Departamento
12,Empresa Constructora Ofrece Departamentos,Publicado: 8 Abril 2024,"EMPRESA CONSTRUCTORA Ofrece departamentos con precios de preventa: Garzoniers: - 33, 46 m2 a 24000 $us- 43, 16 m2 a 31000 $us- 48, 36 m2 a 34000 $us. 3 habitaciones:- 128,54 m2 a 86000 $us- 133. 23 m2 a 87000 $us. Incluye domótica y cocina equipada de regalo, entrega pronta. Más información a los...",33,Cochabamba -  Venta -  Departamento
13,Vendo Casa Zona Central,Publicado: 8 Abril 2024,"VENDO casa, zona central, General Acha 460, con tienda, departamento, garaje. 71721444, 77497284.",460,Cochabamba -  Venta -  Casa / Chalet
14,Vendo Departamento 3 Dormitorios,Publicado: 8 Abril 2024,"VENDO departamento, 3 dormitorios, estrenar, gas, soleado, barrio profesional, 65.000 dólares, propietario, whatsapp. 71489027, ofertable.",3,Cochabamba -  Venta -  Departamento
15,Sipe Sipe Lote En,Publicado: 8 Abril 2024,"SIPE SIPE lote en venta, dentro urbanización José Cassab, papeles al día, todos los servicios. 70708108.",70708108,Cochabamba -  Venta -  Lote / Terreno
16,Lotes En Venta Carcaje,Publicado: 8 Abril 2024,"LOTES en venta, Carcaje, al contado o crédito. Telf. 4456234.",4456234,Cochabamba -  Venta -  Lote / Terreno
17,Casa En Alquiler Final,Publicado: 8 Abril 2024,CASA En alquiler final América Oeste Cel: 67502003,67502003,Cochabamba -  Alquiler -  Casa / Chalet
18,Alquiler Departamento Dos Dormitorios,Publicado: 8 Abril 2024,"ALQUILER Departamento dos dormitorios, living-comedor, cocina, baño para lavadora, parrillero, terraza, gas, luz, 4to. Piso, Av. Simón López y Av. Calampampa, Сel. 76478115 propietario.",4,Cochabamba -  Alquiler -  Departamento
19,Se Alquila 2 Departamentos,Publicado: 8 Abril 2024,"SE ALQUILA 2 departamentos, suite, con baño privado y 2 dormitorios, con baño compartido, final d'Orbigny, cerca UNITEPC. Ref. 71772979.",2,Cochabamba -  Alquiler -  Departamento
